Experiment_ID,Final_Role,Target,Plot_ID,Predictor,Predictor_Value,SHAP_Value,Absolute_SHAP_Value
CD04_Richness,PRIMARY_XAI,Richness,CmP1,CWM_WD,0.6200000000000001,1.1824387654537534,1.1824387654537534
CD04_Richness,PRIMARY_XAI,Richness,CmP1,CWM_SLA,15.376254737931967,0.3627976959967442,0.3627976959967442
CD04_Richness,PRIMARY_XAI,Richness,CmP1,CWM_Log10_Seed_Mass,2.3716478540927537,0.20397689743918387,0.20397689743918387
CD04_Richness,PRIMARY_XAI,Richness,CmP1,CWM_Max_Height_m,25.19846108,0.06731203793571523,0.06731203793571523
CD04_Richness,PRIMARY_XAI,Richness,CmP2,CWM_WD,0.6736363636363637,1.7382376294038873,1.7382376294038873
CD04_Richness,PRIMARY_XAI,Richness,CmP2,CWM_SLA,13.297145443271011,1.035742152312782,1.035742152312782
CD04_Richness,PRIMARY_XAI,Richness,CmP2,CWM_Log10_Seed_Mass,2.5964430827197376,0.18504068987445507,0.18504068987445507
CD04_Richness,PRIMARY_XAI,Richness,CmP2,CWM_Max_Height_m,28.267052380909085,0.9340763538056963,0.9340763538056963
CD04_Richness,PRIMARY_XAI,Richness,CmP3,CWM_WD,0.6368181818181818,1.3376881301822834,1.3376881301822834
CD04_Richness,PRIMARY_XAI,Richness,CmP3,CWM_SLA,13.503277749936744,0.9608714290151144,0.9608714290151144
CD04_Richness,PRIMARY_XAI,Richness,CmP3,CWM_Log10_Seed_Mass,2.627693105159757,-0.19470672834595298,0.19470672834595298
CD04_Richness,PRIMARY_XAI,Richness,CmP3,CWM_Max_Height_m,28.226097846818185,0.48543447073585216,0.48543447073585216
CD04_Richness,PRIMARY_XAI,Richness,CmP4,CWM_WD,0.6514285714285714,0.7732408901332322,0.7732408901332322
CD04_Richness,PRIMARY_XAI,Richness,CmP4,CWM_SLA,11.214256528610726,-0.7405174105790293,0.7405174105790293
CD04_Richness,PRIMARY_XAI,Richness,CmP4,CWM_Log10_Seed_Mass,2.245973054844591,0.31134963547634403,0.31134963547634403
CD04_Richness,PRIMARY_XAI,Richness,CmP4,CWM_Max_Height_m,28.12766154571429,0.21066656750913285,0.21066656750913285
CD04_Richness,PRIMARY_XAI,Richness,CmP5,CWM_WD,0.7284615384615385,0.8294679614106985,0.8294679614106985
CD04_Richness,PRIMARY_XAI,Richness,CmP5,CWM_SLA,10.338381713408015,-0.912755169728993,0.912755169728993
CD04_Richness,PRIMARY_XAI,Richness,CmP5,CWM_Log10_Seed_Mass,2.34015951886746,0.11454620194224943,0.11454620194224943
CD04_Richness,PRIMARY_XAI,Richness,CmP5,CWM_Max_Height_m,25.393196780384617,-0.09464073965570212,0.09464073965570212
CD04_Richness,PRIMARY_XAI,Richness,CmP6,CWM_WD,0.6904545454545455,1.2696108740065228,1.2696108740065228
CD04_Richness,PRIMARY_XAI,Richness,CmP6,CWM_SLA,10.900978752891293,-0.2723179263471904,0.2723179263471904
CD04_Richness,PRIMARY_XAI,Richness,CmP6,CWM_Log10_Seed_Mass,2.512535536275062,0.2819754732638947,0.2819754732638947
CD04_Richness,PRIMARY_XAI,Richness,CmP6,CWM_Max_Height_m,23.48750858909091,0.5131077695529707,0.5131077695529707
CD04_Richness,PRIMARY_XAI,Richness,CmP7,CWM_WD,0.6136666666666666,1.9094649335295126,1.9094649335295126
CD04_Richness,PRIMARY_XAI,Richness,CmP7,CWM_SLA,13.6672969376112,1.2110899389181964,1.2110899389181964
CD04_Richness,PRIMARY_XAI,Richness,CmP7,CWM_Log10_Seed_Mass,2.4021761023744457,0.4822179006152897,0.4822179006152897
CD04_Richness,PRIMARY_XAI,Richness,CmP7,CWM_Max_Height_m,25.86664642766667,0.4934859570957214,0.4934859570957214
CD04_Richness,PRIMARY_XAI,Richness,CmP8,CWM_WD,0.6404166666666667,1.173185647851799,1.173185647851799
CD04_Richness,PRIMARY_XAI,Richness,CmP8,CWM_SLA,12.69955534296875,0.3842088586611923,0.3842088586611923
CD04_Richness,PRIMARY_XAI,Richness,CmP8,CWM_Log10_Seed_Mass,2.3007868231407635,0.19512359883619096,0.19512359883619096
CD04_Richness,PRIMARY_XAI,Richness,CmP8,CWM_Max_Height_m,23.669227017500003,0.23108427560320513,0.23108427560320513
CD04_Richness,PRIMARY_XAI,Richness,CmP9,CWM_WD,0.6306666666666667,1.389277274082313,1.389277274082313
CD04_Richness,PRIMARY_XAI,Richness,CmP9,CWM_SLA,12.80698807907898,0.571067640695954,0.571067640695954
CD04_Richness,PRIMARY_XAI,Richness,CmP9,CWM_Log10_Seed_Mass,2.3727907046165715,0.333217825113651,0.333217825113651
CD04_Richness,PRIMARY_XAI,Richness,CmP9,CWM_Max_Height_m,22.903203852,0.3529983712191941,0.3529983712191941
CD04_Richness,PRIMARY_XAI,Richness,CmP10,CWM_WD,0.6696875,1.6062172971808715,1.6062172971808715
CD04_Richness,PRIMARY_XAI,Richness,CmP10,CWM_SLA,12.250228786484378,0.16098048551662184,0.16098048551662184
CD04_Richness,PRIMARY_XAI,Richness,CmP10,CWM_Log10_Seed_Mass,2.3163835951790874,0.39150018215976473,0.39150018215976473
CD04_Richness,PRIMARY_XAI,Richness,CmP10,CWM_Max_Height_m,22.1469700221875,0.3051079514486568,0.3051079514486568
CD04_Richness,PRIMARY_XAI,Richness,CsP1,CWM_WD,0.53,0.8445994683941594,0.8445994683941594
CD04_Richness,PRIMARY_XAI,Richness,CsP1,CWM_SLA,12.355166573579424,0.028413656373572065,0.028413656373572065
CD04_Richness,PRIMARY_XAI,Richness,CsP1,CWM_Log10_Seed_Mass,1.9806053248699595,0.23322017111415874,0.23322017111415874
CD04_Richness,PRIMARY_XAI,Richness,CsP1,CWM_Max_Height_m,22.1852393715,0.12190003745144205,0.12190003745144205
CD04_Richness,PRIMARY_XAI,Richness,CsP2,CWM_WD,0.6011764705882352,1.1730735068776006,1.1730735068776006
CD04_Richness,PRIMARY_XAI,Richness,CsP2,CWM_SLA,15.43824191382353,0.06915651093427957,0.06915651093427957
CD04_Richness,PRIMARY_XAI,Richness,CsP2,CWM_Log10_Seed_Mass,2.2527148354894457,0.15934900322778126,0.15934900322778126
CD04_Richness,PRIMARY_XAI,Richness,CsP2,CWM_Max_Height_m,23.327524133176468,-0.011330608341243501,0.011330608341243501
CD04_Richness,PRIMARY_XAI,Richness,CsP3,CWM_WD,0.6058333333333333,1.3708528360719123,1.3708528360719123
CD04_Richness,PRIMARY_XAI,Richness,CsP3,CWM_SLA,11.750274902055624,-0.20921118028503133,0.20921118028503133
