Zone,Variable,Mean_Standardized_Cell_Value,Absolute_Deviation,Relative_Profile
Buffer,Richness,0.4343277732847655,0.4343277732847655,NEAR_AVERAGE
Buffer,CWM_Log10_Seed_Mass,-0.42430540977423076,0.42430540977423076,NEAR_AVERAGE
Buffer,Estimated_Mean_Height,0.2909532854064698,0.2909532854064698,NEAR_AVERAGE
Buffer,CWM_SLA,-0.2581082884968667,0.2581082884968667,NEAR_AVERAGE
Buffer,CWM_WD,0.2094863373927283,0.2094863373927283,NEAR_AVERAGE
Core,CWM_WD,0.8460559363082029,0.8460559363082029,HIGH
Core,CWM_SLA,-0.6433577309459374,0.6433577309459374,LOW
Core,Richness,0.43432777328476563,0.43432777328476563,NEAR_AVERAGE
Core,Estimated_Mean_Height,0.17930348756972028,0.17930348756972028,NEAR_AVERAGE
Core,Pielou,-0.16417063159055734,0.16417063159055734,NEAR_AVERAGE
Transition,CWM_WD,-1.0555422737009312,1.0555422737009312,VERY_LOW
Transition,CWM_SLA,0.9014660194428034,0.9014660194428034,HIGH
Transition,Richness,-0.8686555465695313,0.8686555465695313,LOW
Transition,Estimated_Mean_Height,-0.47025677297619,0.47025677297619,NEAR_AVERAGE
Transition,CWM_Log10_Seed_Mass,0.4400698553083719,0.4400698553083719,NEAR_AVERAGE
